#Format:deltacp   chi^2 
-180 17.8082 
-162 19.0835 
-144 20.1233 
-126 20.83 
-108 21.1386 
-90 21.0204 
-72 20.4853 
-54 19.5814 
-36 18.392 
-18 17.0303 
0 15.6301 
18 14.3332 
36 13.2733 
54 12.5579 
72 12.2537 
90 12.3833 
108 12.933 
126 13.8531 
144 15.0556 
162 16.4198 
180 17.8082 
