#Format:deltacp   chi^2 
-180 18.1937 
-162 19.4403 
-144 20.4451 
-126 21.1154 
-108 21.3897 
-90 21.2423 
-72 20.6847 
-54 19.7657 
-36 18.5685 
-18 17.2052 
0 15.8081 
18 14.518 
36 13.4701 
54 12.7763 
72 12.5074 
90 12.6835 
108 13.2807 
126 14.2378 
144 15.4592 
162 16.8227 
180 18.1937 
