#Format:deltacp   chi^2 
-180 17.9264 
-162 19.1946 
-144 20.2255 
-126 20.9229 
-108 21.2225 
-90 21.0966 
-72 20.5554 
-54 19.6473 
-36 18.4555 
-18 17.0929 
0 15.6931 
18 14.3977 
36 13.3409 
54 12.6313 
72 12.3365 
90 12.4784 
108 13.0406 
126 13.9705 
144 15.178 
162 16.5422 
180 17.9264 
