#Format:deltacp   chi^2 
-180 8.91606e-07 
-176.4 0.329517 
-172.8 0.653839 
-169.2 0.972053 
-165.6 1.28328 
-162 1.58669 
-158.4 1.88149 
-154.8 2.16693 
-151.2 2.44234 
-147.6 2.70707 
-144 2.96054 
-140.4 3.20224 
-136.8 3.43172 
-133.2 3.64858 
-129.6 3.85252 
-126 4.04328 
-122.4 4.2207 
-118.8 4.38468 
-115.2 4.53521 
-111.6 4.67236 
-108 4.79629 
-104.4 4.90724 
-100.8 5.00554 
-97.2 5.09161 
-93.6 5.16597 
-90 5.22924 
-86.4 5.28211 
-82.8 5.32539 
-79.2 5.35997 
-75.6 5.38683 
-72 5.40705 
-68.4 5.42177 
-64.8 5.43222 
-61.2 5.3739 
-57.6 5.12172 
-54 4.85754 
-50.4 4.58201 
-46.8 4.29585 
-43.2 3.99979 
-39.6 3.69464 
-36 3.38122 
-32.4 3.06043 
-28.8 2.73316 
-25.2 2.40036 
-21.6 2.063 
-18 1.72208 
-14.4 1.3786 
-10.8 1.03361 
-7.2 0.688149 
-3.6 0.34326 
-1.64313e-13 7.66902e-07 
3.6 0.340582 
7.2 0.677444 
10.8 1.00956 
14.4 1.33592 
18 1.65554 
21.6 1.96746 
25.2 2.27077 
28.8 2.56459 
32.4 2.84809 
36 3.12051 
39.6 3.38111 
43.2 3.62925 
46.8 3.86436 
50.4 4.08593 
54 4.29354 
57.6 4.48686 
61.2 4.66566 
64.8 4.8298 
68.4 4.97924 
72 5.11406 
75.6 5.23445 
79.2 5.34071 
82.8 5.43327 
86.4 5.51266 
90 5.57955 
93.6 5.63471 
97.2 5.67904 
100.8 5.71355 
104.4 5.73933 
108 5.7576 
111.6 5.76964 
115.2 5.66048 
118.8 5.41159 
122.4 5.14993 
126 4.87631 
129.6 4.5916 
133.2 4.29672 
136.8 3.99262 
140.4 3.68028 
144 3.36072 
147.6 3.03498 
151.2 2.70411 
154.8 2.36917 
158.4 2.03123 
162 1.69136 
165.6 1.35063 
169.2 1.0101 
172.8 0.670798 
176.4 0.333764 
180 9.59457e-07 
