#Format:deltacp   chi^2 
-180 16.6259 
-162 17.972 
-144 19.0923 
-126 19.8808 
-108 20.2658 
-90 20.2132 
-72 19.7291 
-54 18.8592 
-36 17.6861 
-18 16.3239 
0 14.9084 
18 13.5823 
36 12.4764 
54 11.6919 
72 11.2936 
90 11.3159 
108 11.7681 
126 12.6231 
144 13.8036 
162 15.1869 
180 16.6259 
